"","denue_2021_merida$nombre_act"
"34608","Comercio al por menor de semillas y granos alimenticios, especias y chiles secos"
"34620","Comercio al por menor de artículos para albercas y otros artículos"
"34621","Comercio al por menor de llantas y cámaras para automóviles, camionetas y camiones"
"34646","Comercio al por menor de otros artículos para la decoración de interiores"
"34660","Comercio al por menor de lencería"
"34665","Comercio al por menor de lámparas ornamentales y candiles"
"34738","Comercio al por menor de artículos de mercería y bonetería"
"34788","Comercio al por menor de pescados y mariscos"
"34791","Comercio al por menor de artículos usados"
"34839","Comercio al por menor de ropa de cuero y piel y de otros artículos de estos materiales"
"34858","Comercio al por menor de paletas de hielo y helados"
"34867","Farmacias sin minisúper"
"34872","Comercio al por menor de blancos"
"34880","Comercio al por menor de revistas y periódicos"
"34881","Comercio al por menor de artículos religiosos"
"34892","Comercio al por menor de sombreros"
"34895","Comercio al por menor de antigüedades y obras de arte"
"35107","Comercio al por menor de instrumentos musicales"
"35176","Comercio al por menor de partes y refacciones usadas para automóviles, camionetas y camiones"
"35377","Comercio al por menor de ropa de bebé"
"35906","Comercio al por menor de muebles para jardín"
"35990","Comercio al por menor de otros combustibles"
"36229","Comercio al por menor de otros vehículos de motor"
"36397","Comercio al por menor de libros"
"36568","Comercio al por menor de pisos y recubrimientos cerámicos"
"39033","Comercio al por menor de cigarros, puros y tabaco"
"39779","Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas"
"41185","Comercio al por menor de equipo y material fotográfico"
"42006","Farmacias con minisúper"
"42047","Comercio al por menor en estaciones de gas natural vehicular"
"46155","Comercio al por menor de gas L. P. en estaciones de carburación"
"51309","Comercio al por menor de pañales desechables"
"74461","Otro autotransporte foráneo de carga general"
"74462","Servicios de agencias aduanales"
"74463","Otros servicios de intermediación para el transporte de carga"
"74464","Administración de puertos y muelles"
"74465","Transporte colectivo foráneo de pasajeros de ruta fija"
"74471","Otros servicios relacionados con el transporte aéreo"
"74472","Transporte aéreo regular en líneas aéreas nacionales"
"74474","Transporte aéreo no regular"
"74475","Servicios a la navegación aérea"
"74477","Administración de aeropuertos y helipuertos"
"74494","Servicios para la navegación por agua"
"74495","Otros servicios relacionados con el transporte por agua"
"74496","Transporte aéreo regular en líneas aéreas extranjeras"
"74498","Autotransporte foráneo de materiales para la construcción"
"74499","Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija"
"74502","Autotransporte foráneo de productos agrícolas sin refrigeración"
"74503","Alquiler de autobuses con chofer"
"74519","Servicios de grúa"
"74522","Autotransporte foráneo de materiales y residuos peligrosos"
"74523","Transporte turístico por tierra"
"74550","Autotransporte foráneo con refrigeración"
"74556","Autotransporte local de materiales para la construcción"
"74565","Servicios de báscula para el transporte y otros servicios relacionados con el transporte por carretera"
"74573","Otros servicios relacionados con el transporte"
"74584","Transporte turístico por agua"
"74591","Otro autotransporte local de carga general"
"74611","Otro autotransporte foráneo de carga especializado"
"74624","Servicios de mudanzas"
"74627","Alquiler de automóviles con chofer"
"74632","Transporte de gas natural por ductos"
"74639","Otro transporte terrestre de pasajeros"
"74650","Transporte por ferrocarril"
"74683","Transporte marítimo de cabotaje, excepto de petróleo y gas natural"
"74751","Servicios de carga y descarga para el transporte por agua"
"74783","Transporte por aguas interiores"
"74784","Servicios de administración de centrales camioneras"
"74911","Transporte escolar y de personal"
"74985","Servicios postales"
"74988","Servicios de mensajería y paquetería foránea"
"74990","Almacenamiento de productos agrícolas que no requieren refrigeración"
"74991","Almacenes generales de depósito"
"75023","Servicios de mensajería y paquetería local"
"75057","Almacenamiento con refrigeración"
"75101","Otros servicios de almacenamiento general sin instalaciones especializadas"
"75115","Edición de periódicos"
"75116","Editoras de música"
"75117","Operadores de servicios de telecomunicaciones alámbricas"
"75118","Otros servicios de telecomunicaciones"
"75121","Operadores de servicios de telecomunicaciones inalámbricas"
"75122","Bibliotecas y archivos del sector público"
"75150","Bibliotecas y archivos del sector privado"
"75262","Otros servicios de grabación del sonido"
"75263","Grabación de discos compactos (CD) y de video digital (DVD) o casetes musicales"
"75264","Procesamiento electrónico de información, hospedaje y otros servicios relacionados"
"75267","Exhibición de películas y otros materiales audiovisuales"
"75280","Producción de programas para la televisión"
"75293","Transmisión de programas de televisión"
"75331","Producción de películas"
"75335","Edición de software y edición de software integrada con la reproducción"
"75338","Agencias noticiosas"
"75342","Edición de revistas y otras publicaciones periódicas"
"75343","Edición de periódicos integrada con la impresión"
"75366","Servicios de postproducción y otros servicios para la industria fílmica y del video"
"75369","Edición de libros"
"75370","Transmisión de programas de radio"
"75384","Edición de revistas y otras publicaciones periódicas integrada con la impresión"
"75393","Edición de otros materiales integrada con la impresión"
"75420","Producción de videoclips, comerciales y otros materiales audiovisuales"
"75457","Distribución de películas y de otros materiales audiovisuales"
"75466","Producción de programación de canales para sistemas de televisión por cable o satelitales"
"75625","Edición de directorios y de listas de correo integrada con la impresión"
"75630","Agentes, ajustadores y gestores de seguros y fianzas"
"75631","Sociedades financieras de objeto múltiple"
"75638","Compañías de seguros"
"75639","Banca múltiple"
"75640","Cajas de ahorro popular"
"75657","Compañías afianzadoras"
"75661","Administración de cajas de pensión y de seguros independientes"
"75670","Fondos y fideicomisos financieros"
"75688","Otras instituciones de ahorro y préstamo"
"75692","Fondos de inversión"
"75705","Casas de empeño"
"75719","Compañías de autofinanciamiento"
"75721","Montepíos"
"75862","Banca de desarrollo"
"76840","Casas de bolsa"
"76850","Centros cambiarios"
"77120","Otras instituciones de intermediación crediticia y financiera no bursátil"
"77128","Servicios relacionados con la intermediación crediticia no bursátil"
"77427","Otros servicios relacionados con la intermediación bursátil"
"77716","Fondos de aseguramiento campesino"
"77750","Asesoría en inversiones"
"77934","Uniones de crédito"
"77949","Alquiler sin intermediación de oficinas y locales comerciales"
"77951","Alquiler de automóviles sin chofer"
"77952","Servicios de administración de bienes raíces"
"77963","Alquiler sin intermediación de salones para fiestas y convenciones"
"77999","Inmobiliarias y corredores de bienes raíces"
"78000","Otros servicios relacionados con los servicios inmobiliarios"
"78007","Alquiler de mesas, sillas, vajillas y similares"
"78028","Alquiler de prendas de vestir"
"78066","Alquiler de maquinaria y equipo comercial y de servicios"
"78128","Alquiler de equipo de cómputo y de otras máquinas y mobiliario de oficina"
"78130","Alquiler de maquinaria y equipo para construcción, minería y actividades forestales"
"78131","Alquiler de maquinaria y equipo para mover, levantar y acomodar materiales"
"78143","Alquiler sin intermediación de viviendas no amuebladas"
"78151","Alquiler sin intermediación de otros bienes raíces"
"78165","Alquiler de camiones de carga sin chofer"
"78182","Alquiler de autobuses, minibuses y remolques sin chofer"
"78197","Alquiler de maquinaria y equipo agropecuario, pesquero y para la industria manufacturera"
"78219","Centros generales de alquiler"
"78287","Alquiler de otros artículos para el hogar y personales"
"78348","Alquiler sin intermediación de viviendas amuebladas"
"78576","Alquiler sin intermediación de edificios industriales dentro de un parque industrial"
"78621","Alquiler sin intermediación de teatros, estadios, auditorios y similares"
"78744","Alquiler de equipo de transporte, excepto terrestre"
"78889","Servicios de alquiler de marcas registradas, patentes y franquicias"
"78987","Alquiler de aparatos eléctricos y electrónicos para el hogar y personales"
"79768","Otros servicios profesionales, científicos y técnicos"
"79769","Servicios de contabilidad y auditoría"
"79770","Servicios de arquitectura"
"79772","Servicios de diseño de sistemas de cómputo y servicios relacionados"
"79773","Servicios de ingeniería"
"79774","Diseño gráfico"
"79776","Bufetes jurídicos"
"79779","Notarías públicas"
"79784","Otros servicios de consultoría científica y técnica"
"79787","Servicios de consultoría en administración"
"79798","Agencias de publicidad"
"79811","Servicios de fotografía y videograbación"
"79816","Servicios de apoyo para efectuar trámites legales"
"79829","Laboratorios de pruebas"
"79831","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado"
"79832","Servicios veterinarios para mascotas prestados por el sector privado"
"79835","Servicios de arquitectura de paisaje y urbanismo"
"79836","Otros servicios relacionados con la contabilidad"
"79843","Agencias de anuncios publicitarios"
"79847","Diseño y decoración de interiores"
"79849","Servicios de traducción e interpretación"
"79854","Agencias de compra de medios a petición del cliente"
"79855","Servicios de dibujo"
"79881","Servicios de rotulación y otros servicios de publicidad"
"79933","Servicios de consultoría en medio ambiente"
"79952","Servicios de investigación científica y desarrollo en ciencias sociales y humanidades, prestados por el sector privado"
"79962","Agencias de correo directo"
"79990","Servicios de elaboración de mapas"
"80057","Diseño industrial"
"80059","Servicios de investigación de mercados y encuestas de opinión pública"
"80068","Servicios de investigación científica y desarrollo en ciencias sociales y humanidades, prestados por el sector público"
"80075","Servicios veterinarios para mascotas prestados por el sector público"
"80089","Servicios de inspección de edificios"
"80169","Diseño de modas y otros diseños especializados"
"80293","Agencias de relaciones públicas"
