"","id","clee","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta"
"2780",6989273,"31080315222006611000000000U3","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","33","CALLE","14","CALLE","16","CALLE","18A",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",11,"","","","Fijo",20.52782063,-89.3275891,"2019-11"
"2781",4570634,"31080315222001331000000000U3","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","22","CALLE","31","CALLE","33","CALLE","24",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",13,"9971125850","","","Fijo",20.52997649,-89.33160407,"2010-07"
"2782",6989274,"31080315222006621000000000U2","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","16","CALLE","33","CALLE","18A","CALLE","14",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",11,"","","","Fijo",20.52888613,-89.32814948,"2019-11"
"2784",6989334,"31080315222006751000000000U7","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","33","CALLE","33","CALLE","18-A","CALLE","SIN REFERENCIA",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",22,"","","","Fijo",20.52817578,-89.32711757,"2019-11"
"2785",6989337,"31080315222006781000000000U4","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","NINGUNO","CALLE","16","CALLE","NINGUNO","CALLE","SIN REFERENCIA",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",27,"","","","Fijo",20.52639936,-89.32905352,"2019-11"
"2786",4556196,"31080315222002981000000000U4","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","15","CALLE","26A","CALLE","26","CALLE","13",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","98",20,"9995508128","","","Fijo",20.53984291,-89.3324971,"2014-12"
"2787",4556197,"31080315222002751000000000U1","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","15","CALLE","26A","CALLE","26","CALLE","13",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","98",20,"","","","Fijo",20.53989119,-89.33276254,"2014-12"
"2788",4570621,"31080315222000151000000000U6","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","18A","CALLE","18","CERRADA","NINGUNO","CALLE","22",NA,"SN","",NA,NA,"","SECTOR","SAN RAFAEL","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","012A",3,"","","","Fijo",20.53039304,-89.32867212,"2010-07"
"2789",6988604,"31080315222005221000000000U2","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","17","CALLE","24","CALLE","22","CALLE","19",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",21,"9971418499","","","Fijo",20.53815987,-89.33105842,"2019-11"
"2790",6988602,"31080315222005211000000000U3","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","22","CALLE","17","CALLE","15","CALLE","20",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",9,"9995112892","","","Fijo",20.53865361,-89.33022039,"2019-11"
"2791",6988541,"31080315222005151000000000U1","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","15","CALLE","18","CALLE","22","CALLE","17",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",24,"","","","Fijo",20.53949045,-89.32949942,"2019-11"
"2792",6988538,"31080315222005131000000000U3","ARMADO DE GUAYABERAS SIN NOMBRE","",315222,"Confección en serie de camisas","0 a 5 personas","CALLE","22","CALLE","15","CALLE","17","CALLE","24",NA,"SN","",NA,NA,"","COLONIA","MEJORADA","","","",97680,31,"YUCATÁN       ",80,"Tekit",1,"Tekit","115",22,"9971392992","","","Fijo",20.53822547,-89.33034878,"2019-11"
